iter,n_outl,n_pairs,avg_eucl,t_dur_V,t_dur_p,t_dur_sig,t_pop_V,t_pop_p,t_pop_sig,val_mod_df,val_mod_chi2,val_mod_p,val_mod_r2,val_mod_infl,val_mod_sig,val_coef,val_coef_Z,val_coef_p,val_coef_sig,val_diff,med_dur_ACME,med_dur_ACME_p,med_dur_ADE,med_dur_ADE_p,med_dur_prop,med_dur_med,med_pop_ACME,med_pop_ACME_p,med_pop_ADE,med_pop_ADE_p,med_pop_prop,med_pop_med,med_t_dur_ACME,med_t_dur_ACME_p,med_t_dur_ADE,med_t_dur_ADE_p,med_t_dur_prop,med_t_dur_med,med_t_pop_ACME,med_t_pop_ACME_p,med_t_pop_ADE,med_t_pop_ADE_p,med_t_pop_prop,med_t_pop_med,pca_n_pc,pca_cum,pca_pc1_tmpo,pca_pc1_ldns,pca_pc1_vlnc,pca_pc1_dnce,pca_pc1_nrgy,pca_pc1_acst,pca_pc1_inst,pca_pc1_spch,pca_pc1_lvns,pca_pc2_tmpo,pca_pc2_ldns,pca_pc2_vlnc,pca_pc2_dnce,pca_pc2_nrgy,pca_pc2_acst,pca_pc2_inst,pca_pc2_spch,pca_pc2_lvns,pca_mod_df,pca_mod_chi2,pca_mod_p,pca_mod_r2,pca_mod_infl,pca_mod_sig,pca_coef_pc1,pca_coef_pc1_Z,pca_coef_pc1_p,pca_coef_pc1_sig,pca_coef_pc2,pca_coef_pc2_Z,pca_coef_pc2_p,pca_coef_pc2_sig,pca_mod_df_no_outl,pca_mod_chi2_no_outl,pca_mod_p_no_outl,pca_mod_r2_no_outl,pca_mod_infl_no_outl,pca_mod_sig_no_outl,pca_coef_pc1_no_outl,pca_coef_pc1_Z_no_outl,pca_coef_pc1_p_no_outl,pca_coef_pc1_sig_no_outl,pca_coef_pc2_no_outl,pca_coef_pc2_Z_no_outl,pca_coef_pc2_p_no_outl,pca_coef_pc2_sig_no_outl,pcavd_n_pc,pcavd_cum,pcavd_pc1_tmpo,pcavd_pc1_ldns,pcavd_pc1_dnce,pcavd_pc1_nrgy,pcavd_pc1_acst,pcavd_pc1_inst,pcavd_pc1_spch,pcavd_pc1_lvns,pcavd_pc1_vlnc,pcavd_pc2_tmpo,pcavd_pc2_ldns,pcavd_pc2_dnce,pcavd_pc2_nrgy,pcavd_pc2_acst,pcavd_pc2_inst,pcavd_pc2_spch,pcavd_pc2_lvns,pcavd_pc2_vlnc,pcavd_mod_colin,pcavd_mod_df1,pcavd_mod_df2,pcavd_mod_F,pcavd_mod_p,pcavd_mod_r2,pcavd_mod_adjr2,pcavd_mod_infl,pcavd_mod_sig,pcavd_coef_pc1,pcavd_coef_pc1_t,pcavd_coef_pc1_p,pcavd_coef_pc1_sig,pcavd_coef_pc2,pcavd_coef_pc2_t,pcavd_coef_pc2_p,pcavd_coef_pc2_sig
a1,17,722,0.4268065716725482,137198.5,0.23228709581523843,FALSE,134592.5,0.0032896466175572204,TRUE,1,6.334730712722603,0.011839609100762427,0.00583643212453581,0,TRUE,0.5394458111604304,2.5094890177864233,0.012090597513258436,TRUE,-0.032593213296398915,-0.005571456032924596,0.7164,-0.1281207738263231,0.0208,0.04167374602690278,none,0.03681248453203129,0.0016,-0.17055448357843578,8e-4,-0.2752499947249813,partial,-0.0018792751137920436,0.6564,-0.023486041567870354,0.1092,0.07408837576826498,none,0.010255172353206684,0.0012,-0.03560067987817023,0.01,-0.404614993134624,partial,2,0.56433,0.24156231804513748,0.4388325094183365,0.35278216247296734,0.3458947298752165,0.45688289030021534,-0.4194646075288975,-0.29136182389987114,0.131641196003678,0.1343934802500612,0.11871609427279112,-0.08322783487114105,-0.17787147263633643,-0.274949974561589,0.04783786821878942,-5.661437560256083e-4,0.10531828869756962,0.6447453602109072,0.6653319198504536,2,6.46801878354745,0.03939921480146247,0.005958960749924043,0,TRUE,0.06240360059567093,2.343070716386568,0.01912575764532359,TRUE,0.04884748797402562,0.9789835776321966,0.32758809390831395,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55637,0.2511018349286981,0.43968197524243313,0.33858645837540846,0.4628062154573254,-0.4192632768992564,-0.28296756564150627,0.1549057758520251,0.12624562109004278,0.3449799291018356,0.013727955292498246,0.08797497780512238,0.26521354125466423,-0.0200489486141478,-0.007453231292690727,-0.0367816613111626,-0.6496158609987663,-0.6896547510525592,0.14932809495288069,FALSE,2,719,63.92513398165569,2.8025467422750724e-26,0.15097151503629247,0.1486098224494672,0,TRUE,0.06153226425219633,10.696860862684446,6.97945877773809e-25,TRUE,0.039160674069847495,3.664346551253238,2.6620550029320014e-4,TRUE
a2,13,725,0.5396565974303219,142582.5,0.05129636365413665,FALSE,145166,2.639779648212002e-5,TRUE,1,12.039099607246499,5.209612992773671e-4,0.01102460538959645,0,TRUE,0.7470823193213437,3.4504483616932617,5.596562222699611e-4,TRUE,-0.04462082758620689,-0.010461056270350804,0.5028,-0.17329221169367143,0.002,0.05692990598893193,none,0.048515743435776984,0,-0.2323497461178935,0,-0.2639106080917457,partial,-0.004735171615412152,0.304,-0.034284460421832336,0.0236,0.12135356916980664,none,0.01278580511281988,0,-0.051807111385550234,4e-4,-0.32766215009452704,partial,2,0.56456,0.22159979566409868,0.44425988701051045,0.35555143090038244,0.34635444593005515,0.45880885724024184,-0.4216369778287131,-0.2977373254698224,0.1276450559222091,0.11800159867679755,0.15830657799373246,0.07826963143393265,0.0799327500145159,0.14839024895644695,0.0029642853646345627,-0.07147918050447137,0.045975262945590664,-0.659750944632338,-0.70562092349177,2,10.392410039347169,0.005537539448943307,0.009522075145365664,0,TRUE,0.06456057295740747,2.419483772807198,0.015542554183328436,TRUE,-0.10734838093905691,-2.0957277892471833,0.03610634524715616,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55637,0.24925068588756408,0.43979802831184955,0.33579505275883426,0.46297432674471856,-0.41971901766275044,-0.28335599720498306,0.1576280554605076,0.12694959032316766,0.3463102191738793,0.007521308157466357,0.08273702340487042,0.2832780604047569,-0.029643877273850355,0.004183676384652633,-0.048563541912882674,-0.6464795174977596,-0.6817441379770285,0.16396962814436072,FALSE,2,722,62.474642125800045,9.449416587580813e-26,0.14752864967825144,0.14516723319536573,0,TRUE,0.05940777684054954,10.498561210696682,4.301922147430305e-24,TRUE,0.04034484923323274,3.837902650778893,1.349626982027261e-4,TRUE
a3,13,725,0.6265710993098087,142184.5,0.06032116332562323,FALSE,150596.5,7.833156729343047e-8,TRUE,1,8.992502472123533,0.0027108951322976083,0.008243379778775909,0,TRUE,0.645740321678053,2.986575786820659,0.0028212090097847454,TRUE,-0.038520827586206896,-0.012263399907832458,0.4344,-0.14716964221363954,0.0044,0.0769188102080432,none,0.06308816845378354,0,-0.22288434392274759,0.0012,-0.39480399495566565,partial,-0.005999009748516376,0.136,-0.019170419335139053,0.1744,0.23834508635764107,none,0.017294820160668953,0,-0.04252116501502722,0.0016,-0.6855856550173571,partial,2,0.56091,0.23330815003026148,0.43812820921018913,0.3497881524467866,0.34252011213338324,0.4582417446031201,-0.4209449429847407,-0.28929324554142755,0.15099588710693931,0.14236825227305916,0.13822263989176936,-0.0285905722986564,-0.2929974592775364,-0.36548785861888644,0.08116974546201851,-0.051496008654292304,0.09769699862074024,0.5477993211602229,0.6646645987016915,2,6.565696319189556,0.03752123800217899,0.00602377358692241,0,TRUE,0.06657165648234789,2.50699840832399,0.012176125998096499,TRUE,0.025511473296548896,0.5070389363752521,0.6121274990033281,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55639,0.24872155790647346,0.4400601320260046,0.3349062742847627,0.463292320023683,-0.42082641559536677,-0.28323945060603817,0.1569022611076983,0.125049951137816,0.3465651630254704,0.009007671130564193,0.08124850091952898,0.28075867637210183,-0.02945004682559493,0.003544880738192438,-0.04683251415339851,-0.6458136434759998,-0.6838043717132539,0.16357038823579867,FALSE,2,722,65.24254480581476,8.994903684081617e-27,0.1530643658190845,0.15071828372994067,0,TRUE,0.06279787532559744,11.002233046440384,3.885940173161932e-26,TRUE,0.032535120357763285,3.071800384700281,0.002207645803130639,TRUE
a4,15,722,0.6822598845896609,146264,0.004930395693469274,TRUE,152310,3.069844594852484e-8,TRUE,1,5.1327165208699626,0.023478953193051932,0.004730937364902636,0,TRUE,0.5148481268527819,2.2600084170321084,0.023820728448523048,TRUE,-0.027661218836565138,-0.028009652673027352,0.1032,-0.09973358964087656,0.0952,0.21926523991147134,none,0.0674112047410293,0,-0.1955392522870269,0,-0.5261237178911109,partial,-0.007858036753371487,0.0856,-0.02379356247800262,0.1016,0.2482666577422838,none,0.019981365401282557,0,-0.05172058294368878,0,-0.6295481410209876,partial,2,0.5575,0.2196344408477478,0.4473174484138721,0.3509992508852215,0.34121534113216095,0.46133492039358176,-0.4281080983849873,-0.2997626644409125,0.11179432369607391,0.11652189112495828,0.0751740489735822,-0.05236750246091908,-0.2400588217562709,-0.3001547753592439,0.062296502326546425,-0.055250568390317306,0.020238599123320846,0.5812532776572381,0.7061776878248318,2,13.037173765727857,0.0014757530414937214,0.011983838720771356,0,TRUE,0.0708582854229589,2.6336971441091843,0.008446078730123836,TRUE,0.12483229420772192,2.4369633473316257,0.014811180548462059,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55577,0.24697880392666788,0.44101294426464055,0.3342869719017041,0.46387921936031107,-0.42139008931767413,-0.2824693325854088,0.15343662191685956,0.1289341592971799,0.3464852061186908,0.005300369731426751,0.08377899254371843,0.2837790063327185,-0.029741455018239195,0.005312460481454902,-0.04937402682044252,-0.6540627757532965,-0.6744516857563188,0.16244599133497395,FALSE,2,719,64.82375950668474,1.3078418655068965e-26,0.1527695728894566,0.15041288185437862,0,TRUE,0.059361199528847296,10.942364094701551,6.973516573456792e-26,TRUE,0.03147287174414469,3.1483625954384267,0.001709759976097942,TRUE
a5,15,720,0.7356137805174255,140322.5,0.05899048691022684,FALSE,154629,1.9551956879908514e-10,TRUE,1,13.130082209876718,2.905920220959146e-4,0.012102224954354165,0,TRUE,0.8001521910565407,3.602627914976092,3.1501629636092326e-4,TRUE,-0.04575888888888885,-0.012495908392543796,0.4192,-0.18382758407749655,8e-4,0.06364958281521359,none,0.07321432008371229,0,-0.26998238176780376,0,-0.3720843690642077,partial,-0.005575521876888437,0.2172,-0.030169645279356942,0.032,0.15597973993287884,none,0.020264285544765788,0,-0.05617639828014907,0,-0.5642743910413244,partial,2,0.56269,0.22058999419371808,0.44179626931189264,0.3564632697034581,0.3427322876545766,0.4611006206659128,-0.4218799775376059,-0.2967340556505593,0.13851137261504493,0.1174377677024547,0.050014464888467114,0.018812063168468292,0.21859908749535611,0.32422668073783906,-0.06345197358453211,0.02879046174751731,0.01324274971208774,-0.5674454092003379,-0.7191741454914127,2,8.998231000547776,0.011118826789424108,0.00830571807735847,0,TRUE,0.07355949570763377,2.7569076835340702,0.005835082281667995,TRUE,-0.05908627239639823,-1.1678399629674696,0.24287132491070118,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55683,0.2488840062297308,0.4403250616686146,0.3372826354309574,0.46309078601656095,-0.4204271207506277,-0.28061877789074174,0.15622763695984995,0.1286470088022466,0.34568041521252246,0.024930718121175425,0.08616929351916394,0.27311646887020313,-0.023674491909484674,-0.004831491916475791,-0.04005735318162866,-0.6481322305962728,-0.6878803928735276,0.14804548935200815,FALSE,2,717,55.74226200437221,3.152534244594566e-23,0.13456440135937617,0.13215035505912354,0,TRUE,0.05674347097189275,10.212457812339343,5.941356819650786e-23,TRUE,0.02765923198389691,2.681460318545393,0.007498769643214497,TRUE
a6,13,719,0.779914667651809,141823.5,0.025998351594474063,TRUE,159205,4.985798713913415e-12,TRUE,1,6.416710394836855,0.011305138629823186,0.005936407226754555,0,TRUE,0.5551363483183747,2.525660928109928,0.01154808777823397,TRUE,-0.03221585535465926,-0.019817256858716693,0.2324,-0.11767956515627706,0.0344,0.14412883562178375,none,0.07160038819746749,0,-0.2091750776576634,0,-0.5204473910019867,partial,-0.007119251578320938,0.094,-0.016658641655055872,0.2416,0.29940632285822993,none,0.02126746509138087,0,-0.04515112479597269,0,-0.8904608989757141,partial,2,0.56382,0.2433016635355089,0.4392544013982538,0.3539153151576742,0.33794314678476167,0.4564779060335442,-0.41962723117699263,-0.2918079810320877,0.15278564860197855,0.12427311276532466,0.007375847337228852,-0.02043490368932942,-0.2613038170258484,-0.35857880716533275,0.07624671821331554,-0.04802413689009622,0.007205332038713425,0.4984232741780488,0.7389668524584723,2,5.329212893818294,0.06962674996459495,0.004932174388419419,0,FALSE,0.05699407270654644,2.1494070290238447,0.03160214874437413,TRUE,0.04244190161117042,0.834747762668877,0.40385974315163103,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5567,0.2525258312160237,0.4393953598585171,0.33728960276248254,0.46278722917124604,-0.4203169696154279,-0.28215879082068124,0.1569889454042196,0.12535869212747391,0.34436297395722326,0.015898960958832236,0.08557609175828897,0.26859492997882556,-0.023991662433241405,-0.0042944891849396385,-0.03958049363679601,-0.6473069549144304,-0.6889220688983283,0.15652523845542787,FALSE,2,716,47.507074309373465,4.233345943070319e-20,0.11715473617885369,0.11468868795588949,0,TRUE,0.051935470607711705,9.4189726033081,6.123424130456883e-20,TRUE,0.025665297456463756,2.509403059868687,0.012313223170846975,TRUE
a7,12,721,0.8253583202231533,145973.5,0.004654867591762758,TRUE,159075.5,5.287692239298637e-11,TRUE,1,11.718140588950519,6.189376693883641e-4,0.010791175840162351,0,TRUE,0.7450213813014332,3.404702118052897,6.623626323692069e-4,TRUE,-0.043788210818307916,-0.019077876395272114,0.2092,-0.16417337349821026,0.002,0.10410775591632485,none,0.07251791181797042,0,-0.256237065354852,0,-0.39472156507303124,partial,-0.00846490928100219,0.0508,-0.027608231919289395,0.058,0.23465961098319227,none,0.022655782590702007,0,-0.05896157062546986,0,-0.6240267411082203,partial,2,0.56474,0.2313002937692791,0.43899013072113,0.34601747534082244,0.3407606251944122,0.45860195232981626,-0.42508604169525566,-0.3014826537269143,0.15076954253797983,0.11534644913205033,0.04250989281882899,-0.010490798197673644,-0.2764456925687027,-0.36291063616998176,0.047850501804944295,-0.03757276830182342,-0.045087769523587645,0.543418604066972,0.6992270244584808,2,6.710564856182373,0.03489951216013121,0.0061904528298901695,2,TRUE,0.0679849622561987,2.5594496507218176,0.010483804106694418,TRUE,0.018332877330375263,0.36597533777863306,0.7143834784619789,FALSE,2,6.962136259906174,0.030774522282106642,0.006430863911260687,0,TRUE,0.06931601350165056,2.6059001963160453,0.009163315756116865,TRUE,0.02077213520376668,0.4035453976951796,0.6865470447953308,FALSE,2,0.55653,0.2498074719599942,0.44006583807124044,0.3351722270516477,0.4632785830125348,-0.4206320574337526,-0.2820174788598083,0.1578149832269921,0.1264877607326921,0.34583364379604375,0.015318132741403704,0.0880077979579129,0.2740124618359628,-0.025149120602445237,-0.0013042274560101028,-0.046649518456739494,-0.646391873044659,-0.6878936541174108,0.15200876061841548,FALSE,2,718,51.81150189922148,9.576694301643926e-22,0.12611989114153785,0.12368568471017727,0,TRUE,0.05466744448444007,9.675683338069986,6.752657692697421e-21,TRUE,0.03318245560309128,3.162934672078896,0.0016276629327351023,TRUE
a8,11,721,0.8586011158446406,143999.5,0.013243591767388598,TRUE,162739.5,2.411116939935757e-13,TRUE,1,15.464697431875948,8.406070037392244e-5,0.014222901228056509,0,TRUE,0.8349825970678598,3.9054561535353565,9.40478105829404e-5,TRUE,-0.051613869625520115,-0.015907914495300865,0.2672,-0.18871004619835471,8e-4,0.07774446798987236,none,0.07528322868498548,0,-0.2807355105003119,0,-0.36642683167011414,partial,-0.005241718055438962,0.1976,-0.027802640371759703,0.0488,0.15862671587306493,none,0.02276126495955106,0,-0.055944568136883144,4e-4,-0.6859252328773453,partial,2,0.56582,0.24109772940792126,0.4368364384932192,0.3523635379248688,0.347836031257505,0.4531351685532006,-0.41856535512313947,-0.30250136190718346,0.1349678844286123,0.12507598533319086,0.03661210257164211,0.07780464511068608,0.15032243850151075,0.20156651012212193,0.01719933780873846,-0.04638600077741242,0.056048258926461675,-0.6435979377668087,-0.7138437549695824,2,13.284130007524482,0.001304331012482618,0.01222665631672104,0,TRUE,0.07274212957488022,2.7384993448092283,0.006172028341006368,TRUE,-0.12459514565662949,-2.3733260882757796,0.01762869268601182,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55653,0.2498074719599942,0.44006583807124044,0.3351722270516477,0.4632785830125348,-0.4206320574337526,-0.2820174788598083,0.1578149832269921,0.1264877607326921,0.34583364379604375,0.015318132741403704,0.0880077979579129,0.2740124618359628,-0.025149120602445237,-0.0013042274560101028,-0.046649518456739494,-0.646391873044659,-0.6878936541174108,0.15200876061841548,FALSE,2,718,51.44878076905014,1.3150335448311593e-21,0.12534762723049517,0.12291126964617904,0,TRUE,0.05660782046898561,9.635100737383274,9.586740806711286e-21,TRUE,0.034605253561978584,3.1721278849657852,0.0015777003552779295,TRUE
a9,11,717,0.8937981782980511,143062,0.00964547763406538,TRUE,163893.5,1.3409020003792213e-14,TRUE,1,15.875536587520628,6.76475049528058e-5,0.014679667583786138,0,TRUE,0.8555560182949218,3.955543368425118,7.63608935741307e-5,TRUE,-0.052012273361227324,-0.021917753515073662,0.1452,-0.18753416889326008,0.0012,0.10464336284459709,none,0.07347313740724154,0,-0.28492095333506806,0,-0.3474764545797916,partial,-0.00801176103192046,0.07,-0.035849769274381986,0.0136,0.18266031704710614,none,0.020888192195124403,0,-0.06483276498415211,0,-0.4753304189667732,partial,2,0.56234,0.22031535183254003,0.44092352833432824,0.35616521370311266,0.34765152055180637,0.45581080875856445,-0.42120029409860893,-0.29281585184536807,0.1514703257811006,0.12439768848291148,0.052275200679092595,-0.07488076717182693,-0.1726220768407334,-0.2669351393997528,0.01951820219814996,0.011507792453770517,0.03481716762330207,0.6122867745271467,0.7169286611066485,2,7.196655047580407,0.027369458959001558,0.00667468776957314,0,TRUE,0.06952616566054948,2.6099884168503023,0.009054528846467916,TRUE,0.030419443751281004,0.5972686016369989,0.5503280639394834,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55721,0.24949472723048002,0.4387916898780664,0.3344994308792861,0.46270748266216316,-0.4205806607041332,-0.2850872719606673,0.15936872119968437,0.12647518153767853,0.3459319941461107,0.00945478154477769,0.08364680765530187,0.2770635533027531,-0.027711870267270393,3.70126190223332e-4,-0.05161855325207569,-0.6455282853577549,-0.6853674177137444,0.16211656873619035,FALSE,2,714,51.660717836577774,1.1117321409241496e-21,0.12641468969678837,0.123967672020869,0,TRUE,0.05780518887786031,9.719123895765092,4.7051409819453315e-21,TRUE,0.03292062220053224,2.9765863622486206,0.0030133184563114904,TRUE
a10,9,717,0.915375438541799,144711,0.003907841923825832,TRUE,165209,2.990288621327595e-17,TRUE,1,14.981543070215366,1.0856788382074267e-4,0.013857327713623135,0,TRUE,0.8381915786920849,3.843639171270619,1.2122320268360357e-4,TRUE,-0.05009065550906555,-0.031691920697237225,0.0456,-0.17362753985592183,0.002,0.15435419814495321,partial,0.08091223968219619,0,-0.2879535116740833,0,-0.39080246611587044,partial,-0.010475266772243832,0.0264,-0.03565177599729692,0.0156,0.22709599712646233,partial,0.02581450490727995,0,-0.07215032957382439,0,-0.5571176318335526,partial,2,0.56497,0.2410876831919418,0.4380623397997333,0.35082916524230284,0.3508764573764641,0.4562822087080326,-0.42230058231103124,-0.29224938670414524,0.12976510134896613,0.12248592807291533,0.0882035106793706,0.09999355614650865,0.100772771900011,0.16243996242117742,0.0070035752262434595,-0.05124754010289657,0.032713079591265654,-0.6537714551407661,-0.7172983444282005,2,12.525356583412304,0.0019061337716699267,0.011595363805500488,0,TRUE,0.07173975165870032,2.6914563113565606,0.007114081545508518,TRUE,-0.12014091226515888,-2.255409955601518,0.024107608424830628,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.55952,0.2500327502374733,0.43810390463406745,0.3384000186659005,0.46185793255313445,-0.4203772861224556,-0.28640674781057796,0.15454089555790868,0.12745047520075917,0.3447446448458321,0.011272394245457106,0.08187648414274441,0.27735901881978303,-0.03096881311926738,-1.8073227507120135e-4,-0.04819008726840966,-0.6495108519233742,-0.6822404051640057,0.16013571552293548,FALSE,2,714,55.202703981317946,5.104868676756921e-23,0.13392125633367963,0.1314952654550624,0,TRUE,0.058222555951286496,10.00822427282759,3.7301500632372678e-22,TRUE,0.034715466712828866,3.2001335702469262,0.001434429411492427,TRUE
